Block Hash: 172d218d7a5889f1e31b8674c7e2364e6f84782362dddb1446be04d47fe57ae9
Previous Hash: 80c2607bc7826c54b9effbf5ed3b757d5884a0af0504d690f2a0f7f356029b30
Merkle Root: 5aced9e876472eea6ee29f6f21ee4ccdeb345733146d3f92db477c77654177b1
Random Number: 308964177
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- Emily sends $46 to Bob
- Bob sends $27 to Emily
- Bob sends $28 to Charlie
- Bob sends $22 to Charlie
- David sends $27 to Emily
- Charlie sends $42 to Alice
- David sends $50 to Alice
- Charlie sends $41 to Alice
- Charlie sends $15 to David
- David sends $12 to Alice
==================================================
