Block Hash: 5add4c3c4a76a620067a18b0f40a2641a432d445403a92d21b8b9be6a1c947a2
Previous Hash: 4e6d893c407ffcfd7c7b79d5a0f2e6c4d46ddc1700056857716d6ce106bd1774
Merkle Root: 634d99ed5bb8f337e41ceb57df1eea6d62387c3e95b1634d6142f3ea02760441
Random Number: 118868929
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Bob sends $50 to Charlie
- Charlie sends $43 to David
- Emily sends $16 to David
- Emily sends $30 to David
- Alice sends $18 to Emily
- Charlie sends $40 to David
- Alice sends $50 to Bob
- Alice sends $23 to David
- Charlie sends $27 to Emily
- Emily sends $19 to Alice
==================================================
