Block Hash: 4810a48672e1e4c7c1b86f2f6a85526a341ef82c8cc10268cac56443d555b8f6
Previous Hash: 4c95f7b3e73852d84dc00c261cee5bba931540c43d64e08a232270987d90042a
Merkle Root: 3f131ad9ce5714f25ede46c6c85f0ae5328f4d91443b5b5cd54bad70cdcc3e82
Random Number: 736913529
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Bob sends $11 to Charlie
- Charlie sends $38 to Emily
- David sends $20 to Emily
- Alice sends $19 to Bob
- David sends $50 to Bob
- Alice sends $30 to Bob
- Alice sends $36 to David
- Emily sends $24 to David
- Alice sends $50 to Bob
- Emily sends $49 to David
==================================================
