Block Hash: 5ac96a164ac8b12cc0b9d84bd6a9722cb4f5a83b5307edc07910060061010a6f
Previous Hash: 6fcaebac0ebcfa5bf5e0d6a3846465f5b208391a1adffbeaccaf6096745ad04e
Merkle Root: fb512a7ecbc1ba1b5e9a6c1eaba67db6eb2c969e685d67eebe7dfdce79737c2f
Random Number: 153728255
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Charlie sends $37 to Emily
- Bob sends $48 to Charlie
- Bob sends $32 to David
- David sends $32 to Alice
- Alice sends $17 to Bob
- Bob sends $19 to David
- Bob sends $50 to David
- Emily sends $18 to Charlie
- Bob sends $27 to David
- David sends $33 to Alice
==================================================
