Block Hash: 27ba345244273011dfbe1237e9f689827fb3e3f6526293867c7a9404b3b683b8
Previous Hash: 13f48a1fcddd80730366885b5358d891ba9684b6c3d1f780126f8d1176034237
Merkle Root: 05c98531b24aa6948b3fdacac0bd322a67afb8f59c5158a70babcbf4f2261138
Random Number: 690508067
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Charlie sends $27 to Emily
- Bob sends $13 to Alice
- Bob sends $12 to Charlie
- David sends $11 to Charlie
- Emily sends $29 to Bob
- Bob sends $43 to Alice
- David sends $19 to Charlie
- Emily sends $44 to Charlie
- David sends $46 to Bob
- David sends $18 to Bob
==================================================
