Block Hash: 2601af1dfd26381ba03e40d0e748489a768172f7ba0e6fc9e28c26edae989a69
Previous Hash: efc3c40feb947196ca478c2299b6d33c69c3723a6e9ff7c67c3e3158d691baa8
Merkle Root: da46d51f450db384ab38423db99d6cf44787f07a28bfca62c944fd0d5cd38516
Random Number: 363980684
Forward Hash: 0
Timestamp: 2023-11-17 11:12:41
Transactions:
- Bob sends $29 to Emily
- Charlie sends $30 to Alice
- Alice sends $27 to Charlie
- Emily sends $37 to Bob
- Alice sends $29 to Charlie
- Alice sends $19 to David
- Emily sends $23 to David
- Emily sends $16 to Bob
- Charlie sends $25 to David
- David sends $42 to Charlie
==================================================
