Block Hash: c466bce1728596361c5522caa965da89b54f2c70be2754c34c21834c118bf1bd
Previous Hash: 101f06bf96e71858473bfde0e45c751e2984f38eb92aa0e93d363255bfaf615d
Merkle Root: f8eaa97d2fbdc32134519dea9956a8a31c71af852ef5ccb67f93a0a2bb5da29b
Random Number: 403650538
Forward Hash: 0
Timestamp: 2023-11-17 11:12:53
Transactions:
- David sends $49 to Charlie
- Bob sends $48 to Alice
- Alice sends $25 to Emily
- Charlie sends $44 to Alice
- Charlie sends $15 to Alice
- Bob sends $12 to Alice
- Bob sends $31 to Emily
- Emily sends $42 to Bob
- Alice sends $20 to David
- Bob sends $24 to Emily
==================================================
