Block Hash: 7b8947b32167f630c49f0cf2245f1e48d05bf089de9962a5c9dba86296fe37de
Previous Hash: 30314e68d11acfa1b3cc90cb8d6197b8e594dfc9f9ae278e891d05c63dbd9473
Merkle Root: a98247bc9080bb0b97fdeeeb79788531f12a03c91dd6462b61deca81a5e0d249
Random Number: 378789493
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Bob sends $33 to David
- Charlie sends $48 to Bob
- David sends $30 to Charlie
- Emily sends $36 to Bob
- David sends $14 to Bob
- David sends $19 to Emily
- Emily sends $44 to Bob
- Emily sends $31 to Bob
- Emily sends $33 to Charlie
- Emily sends $34 to Bob
==================================================
