Block Hash: 1a0a64b77efcf493ff65516ea644aae42ee8a2f03839f14c463267b3845bcfb7
Previous Hash: a05b797d9a1dd64bbc243b65b2829abb0706cf93653bc4a6e6468afd301ae18f
Merkle Root: c2e0b07245709b89599bd3ec1d4a1d546495d3536d220c559b4a1a3cef36f5a8
Random Number: 878583316
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Alice sends $50 to Emily
- Charlie sends $48 to Alice
- Charlie sends $35 to Bob
- Bob sends $35 to David
- Charlie sends $14 to David
- David sends $18 to Bob
- Bob sends $32 to Charlie
- David sends $27 to Alice
- Bob sends $43 to Alice
- Bob sends $16 to David
==================================================
