Block Hash: 727a42de4c95df2fd6f03b4b8a343c8fd3361a68a904904a60d54fedf324e8c4
Previous Hash: cdfcddbb2cd115afdd18510bd992d6cc77464feec60586f29ee32e31749ff70f
Merkle Root: 82fb04278a09e86c189576a7aa5846ed938a8d3018a00526d7f13f7c37db2103
Random Number: 396204182
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Alice sends $14 to David
- David sends $10 to Bob
- David sends $43 to Emily
- Emily sends $42 to Charlie
- Charlie sends $16 to Emily
- Charlie sends $40 to Emily
- Emily sends $39 to Bob
- Charlie sends $30 to Alice
- Charlie sends $44 to Bob
- Charlie sends $37 to Bob
==================================================
