Block Hash: 2fc0ebc426051571199c638c5f7ecf7e11ec814f9378d844c820a066968b908b
Previous Hash: b6d08d30c70e283d5b11445ca372e57a231f6d4b03a0b33fa7da639b9c4c64c8
Merkle Root: c32457d2af9331343796b2002669285dfb777aac97f92c7e0d0e8799750af912
Random Number: 355639200
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- Charlie sends $40 to Bob
- Bob sends $41 to Charlie
- Bob sends $16 to Charlie
- Emily sends $10 to Alice
- Alice sends $21 to Emily
- Emily sends $40 to David
- Emily sends $47 to Charlie
- Bob sends $12 to David
- Emily sends $27 to Charlie
- Bob sends $30 to Charlie
==================================================
