Block Hash: e2706bec009749aff15469868308a108fffcd7f230853592b9d0666b40430d48
Previous Hash: 4628e70ffc19a0e2333966a2a7fe82472dcbfe10c409cab00880c07bedb9f44f
Merkle Root: a7dfc0cc63ef6af043efbc04401e95c4ab2c1eda9d3c8968af6d6eb8dbf2f38a
Random Number: 344706085
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Charlie sends $36 to Alice
- Bob sends $17 to Emily
- David sends $26 to Charlie
- Bob sends $28 to David
- Emily sends $40 to David
- Emily sends $36 to David
- Alice sends $15 to Charlie
- Bob sends $23 to Charlie
- David sends $50 to Charlie
- Bob sends $23 to Charlie
==================================================
