Block Hash: 3d52a2e3af59174e77856e9d0d63ccfb01a1f76d8025bef035c5be2a647fa75b
Previous Hash: ac4b140b39b5024ef82acdcc14a6e3cd8f179b08fe84cdb06c5df68f1f885e19
Merkle Root: 3c7efc5766a290abd269ef6f897949b8645dc817b1747a41fa42bf1d2f072774
Random Number: 824083953
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- David sends $47 to Alice
- Charlie sends $20 to Emily
- Bob sends $27 to Charlie
- Alice sends $20 to Charlie
- Bob sends $41 to Emily
- Emily sends $11 to Charlie
- Alice sends $14 to Emily
- Charlie sends $45 to Emily
- Alice sends $12 to Emily
- Bob sends $37 to Emily
==================================================
