Block Hash: fa0376a665fb66a92b28a081554b6c176af196614b9bfcd8731865ce5f092532
Previous Hash: 9a1a71e0db8fd97e72bae87065cacbd75db305aed398b73d16d95aabfdf8ec14
Merkle Root: 5e5c393e77ac85b9afd960325d33826cf5339275b8d0d7cbd03a78a1b99c5cd1
Random Number: 949027585
Forward Hash: 0
Timestamp: 2023-11-17 11:12:39
Transactions:
- Bob sends $12 to David
- Alice sends $27 to Bob
- David sends $10 to Emily
- David sends $27 to Charlie
- David sends $25 to Emily
- Emily sends $30 to Charlie
- Alice sends $17 to Charlie
- Charlie sends $39 to Bob
- Alice sends $31 to Bob
- Charlie sends $11 to Alice
==================================================
