Block Hash: b536276c003b08620ac132e94ce11cfd1a4113945c5c4c1354dedd7099768327
Previous Hash: 7a026ac163927b6f3c44add9826d0abe8ab9ca26b4dcdbc3848f5d1c15820c1c
Merkle Root: 8c72654cf544ce170cbe40e6646db70d98ea96fb4d0a9ac3567e8072fa8096f8
Random Number: 280872774
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $34 to Charlie
- Charlie sends $10 to David
- Charlie sends $32 to David
- Charlie sends $26 to Bob
- Bob sends $35 to Alice
- Alice sends $20 to David
- Alice sends $13 to Bob
- Emily sends $10 to Bob
- Alice sends $44 to Bob
- Emily sends $10 to Bob
==================================================
