Block Hash: 1085b1ab94eb89802242f8cbf6eba459694b46c1ae4ca60e341f93cecec24053
Previous Hash: 8368130ac26a52e5d2647d0fec2ea269e7795935af213fb310f58feb71dd0a1c
Merkle Root: 1c5955cc94914ec10d7382bbec9d85a128711d46b9765f59737a006e071ad003
Random Number: 341059203
Forward Hash: 0
Timestamp: 2023-11-17 11:12:48
Transactions:
- Alice sends $30 to David
- Charlie sends $40 to Bob
- David sends $27 to Charlie
- Emily sends $31 to Alice
- Charlie sends $42 to Alice
- Charlie sends $23 to Bob
- Bob sends $34 to Alice
- Bob sends $32 to Alice
- David sends $43 to Alice
- Charlie sends $23 to Alice
==================================================
