Block Hash: ebe8ad08a7d53e60a5868743a966a19dabf6b6d4f6e84dda226693d5104b7aec
Previous Hash: 318e2bc09ca29f14d171d4d46cf74227454f8526b4bc14c7edab4d17314666f9
Merkle Root: 013b5a4d63297c2f9a92c2bdab8c0bd4459d19d19dd4c9eaf0df2e6ff7612266
Random Number: 359282863
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Emily sends $43 to David
- Bob sends $16 to Charlie
- Bob sends $35 to Alice
- Alice sends $35 to Emily
- David sends $46 to Bob
- Alice sends $19 to Charlie
- Alice sends $13 to Emily
- Charlie sends $46 to Emily
- Bob sends $38 to Alice
- Bob sends $38 to Alice
==================================================
