Block Hash: 746b8dc7100dfb7a8e8b8d15b61755592e89913c18ebd5a0f48de63a7025a6f6
Previous Hash: 89979ae40890f7f6be1f9aba019213ae3c5725eecb716162da4b5c88e465e016
Merkle Root: beb26eb50ac9d9ed39c16d05948f58a442d7970ed343684ecee57b08a401cb16
Random Number: 998436145
Forward Hash: 0
Timestamp: 2023-11-17 11:12:51
Transactions:
- David sends $47 to Alice
- Bob sends $21 to Charlie
- Alice sends $39 to David
- Bob sends $18 to Emily
- Bob sends $15 to David
- Alice sends $32 to Bob
- Alice sends $32 to Emily
- Emily sends $43 to Charlie
- Bob sends $18 to Charlie
- Alice sends $20 to Bob
==================================================
