Block Hash: 3f080920c63d70b2f004266c5c316e474eae06373a3ac94869c43be5ce5c4872
Previous Hash: 7c9279defda9686c7c0b06a458f0e7fbbf0cd3c35eab35221bd1a07015385f34
Merkle Root: 7b8446dddcbf8a898e1e40514a7aad428fba2651f88251e23312c3dbcae55898
Random Number: 699978793
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Charlie sends $23 to Alice
- Emily sends $25 to David
- Alice sends $37 to Emily
- Emily sends $23 to Charlie
- Emily sends $50 to Bob
- Alice sends $42 to Bob
- Alice sends $48 to David
- David sends $44 to Charlie
- David sends $42 to Emily
- Bob sends $21 to Emily
==================================================
