Block Hash: b00e352672fe34567e1001621d0f8cbd6f9f519f7204b053bb16b69bb4a924f4
Previous Hash: 0d412e2695de483e5e756c377069b01d8850a30b228541903e2451c50a3dede8
Merkle Root: a9590fda7e7b0f62ce68b3245d8732d1cbac48debc84529949c4e6ff17426e8c
Random Number: 530093869
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Alice sends $27 to Charlie
- Bob sends $16 to Alice
- Charlie sends $47 to Bob
- Emily sends $42 to Bob
- Bob sends $34 to David
- Bob sends $48 to Alice
- Bob sends $22 to David
- David sends $25 to Alice
- David sends $35 to Bob
- Emily sends $29 to Alice
==================================================
