Block Hash: 286dbe5a8e39aa7913c754e74467c5739b1f3557a3406b011b52d3eed3f2b316
Previous Hash: 2d1ab3b2de940e7d0d8ce190c841fcf52e8c59e9d1cd3840120a9be6537f45be
Merkle Root: 2fa79875200e2315633ab540ed0a9b623f7ee20fefb042d8b21cac36f3d8f345
Random Number: 881304539
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Bob sends $29 to Charlie
- Alice sends $39 to Bob
- Charlie sends $36 to Bob
- Charlie sends $13 to David
- Alice sends $50 to Emily
- Emily sends $18 to Alice
- Charlie sends $32 to Bob
- Alice sends $17 to David
- Charlie sends $47 to Alice
- Charlie sends $41 to Bob
==================================================
