Block Hash: 302a2226129a075957c2b98be7416b421193f15eba433b2aede7433a43c73898
Previous Hash: d9ed5e3ba23ed5862c577d52191f2a1af38e4416707e8241fd30c1a78d210d85
Merkle Root: f6d852ebdb410c3930cad03c2393804d0fdcd2541b75e29b24e10079b040ef38
Random Number: 184096409
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Charlie sends $46 to David
- Bob sends $36 to Emily
- Alice sends $28 to Charlie
- Emily sends $18 to Charlie
- Emily sends $33 to Alice
- Bob sends $13 to Alice
- Alice sends $27 to Charlie
- David sends $14 to Alice
- Bob sends $30 to Charlie
- Bob sends $10 to Charlie
==================================================
