Block Hash: bf8b79e14cca96b2b12887dab375c16c516d7812159eeaab816f12ff3cbed9d8
Previous Hash: c9fb3bf8a346f80862ee3cf8cf45e78c5a13b32f9bfe2700ef7d4bf2e3d7c0a7
Merkle Root: 27914abd18f7a243b0553b71e41d5820a58194d888d78b15cf601a07384c6c6f
Random Number: 397752191
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Charlie sends $38 to David
- David sends $45 to Alice
- David sends $37 to Alice
- David sends $49 to Charlie
- David sends $10 to Charlie
- David sends $22 to Alice
- Bob sends $34 to Emily
- David sends $35 to Alice
- David sends $41 to Emily
- David sends $25 to Charlie
==================================================
