Block Hash: c89fad7f511c39f92af34dbe4770167df9342e0fe74b89d60eb37ba3d6e927e4
Previous Hash: 6bda434f9158e047a2762b68dbec7a0935940b51f2294d5b08cc9d8455e15b9a
Merkle Root: 3de8a5f7a491e2abb520a38cb46d666be18f3885580efb2940e2c1245a97bb73
Random Number: 143797216
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Bob sends $16 to Charlie
- Emily sends $24 to Alice
- Alice sends $17 to Emily
- Emily sends $50 to Alice
- Emily sends $16 to Bob
- Alice sends $18 to Emily
- David sends $40 to Alice
- Emily sends $14 to David
- Charlie sends $42 to Emily
- Emily sends $26 to Alice
==================================================
