Block Hash: 0ef066644fc9da614cb7c9907f8b1272698c327f64c99721f4b6fda1f21519c1
Previous Hash: c0366f7e7f62d917777afa06c5708a433b1dc6a884a43e8da14e498379806d3f
Merkle Root: 5042a53a103dc6ae766f284edfaa3b2696df1070bfdd6c57e0db328a866a795e
Random Number: 151803506
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- David sends $34 to Charlie
- Charlie sends $19 to Bob
- Charlie sends $42 to Alice
- Emily sends $35 to Alice
- Bob sends $23 to David
- Bob sends $48 to Emily
- Bob sends $49 to Emily
- Bob sends $40 to Emily
- Charlie sends $25 to Emily
- Emily sends $30 to Alice
==================================================
