Block Hash: 49aaa549448109a8ceae33abd28ac546237a1291ba40a741f45c2f8fbcb6b999
Previous Hash: c0c86ec2b2a0724079be0028d3cbae4739eeb58c6fa71d062e6aa3300d7534c2
Merkle Root: e4a9bbe539a50a7e3eaf330721966bcc94e3c5cdb8af91b5d4b4ceeed67d9cc4
Random Number: 74371716
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Emily sends $22 to Bob
- David sends $40 to Emily
- Alice sends $41 to Charlie
- Charlie sends $27 to Emily
- Bob sends $13 to Emily
- Bob sends $21 to Charlie
- David sends $47 to Charlie
- David sends $46 to Alice
- Alice sends $24 to Charlie
- Bob sends $44 to Alice
==================================================
