Block Hash: bb45b0026d42d32656793c64c3b7f44d99285a148d965bca0e6622f6aa126c5c
Previous Hash: c3aacc2a7545984be7fe8fa1c8c15a298614739a6e381ff6283f94c7e6d250eb
Merkle Root: d96d646bc1c3bdf6f51d163d4d8f95c93b616beb2f5e65d5037e4f01b0327f45
Random Number: 512364889
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Bob sends $44 to Alice
- David sends $37 to Emily
- Alice sends $17 to Emily
- David sends $29 to Bob
- Alice sends $37 to David
- David sends $42 to Charlie
- Charlie sends $45 to David
- David sends $35 to Charlie
- Alice sends $35 to Bob
- David sends $10 to Emily
==================================================
