Block Hash: 2410065d94643580b6620172bf18f8beb8080e618a8701468c8d164d9b54750f
Previous Hash: 1b18b5218db00067ff4d5562938de280e95ec0435be84258d19cd276989c6b48
Merkle Root: eb37281b226eef594e8cf206e8ad6364cb775c04d66dc8ffa3b1fd937dc62773
Random Number: 492735257
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Bob sends $21 to Emily
- Emily sends $49 to David
- Charlie sends $12 to David
- Alice sends $12 to Charlie
- Emily sends $40 to Charlie
- Emily sends $20 to Bob
- Emily sends $17 to Alice
- Emily sends $34 to Charlie
- Alice sends $45 to Bob
- Alice sends $13 to Bob
==================================================
