Block Hash: 473d2e04b925650586e2ab47d2d7be180c2f13bd1074182712c9c1c6ea0739eb
Previous Hash: 9996b7e3dd432f2a7a9d4b752f528a9bd211d9edbe457f148dd30f1e5aa4df49
Merkle Root: d1a506d4152083f1f89d372df0144ab36c1bed0450ac17ac47bcd12eb7fd1012
Random Number: 127075103
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Charlie sends $32 to Alice
- Bob sends $27 to Charlie
- Bob sends $49 to Emily
- Alice sends $46 to David
- Emily sends $37 to Charlie
- Alice sends $35 to Emily
- Bob sends $19 to Emily
- Alice sends $16 to Bob
- Alice sends $18 to Emily
- David sends $29 to Charlie
==================================================
