Block Hash: e820aaa0669fea854d1497529391361c785d5b9083d168eb95812bf9591e8b9f
Previous Hash: 28c532363cf180ffc867b00847d4447845ce405ee692e35337a65be48e744d28
Merkle Root: cb314b613cf3ff75a5bd3b6c2cef2a00beeb0c824b2f04aabd9b081dc1008b01
Random Number: 670954073
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Alice sends $46 to Emily
- Emily sends $48 to Alice
- David sends $30 to Charlie
- Charlie sends $37 to Bob
- Emily sends $19 to David
- Emily sends $28 to David
- Bob sends $35 to Charlie
- Emily sends $25 to Charlie
- Bob sends $14 to Alice
- Charlie sends $36 to David
==================================================
