Block Hash: d2f1200b879b23efa4991f411d61aff529e8327c184d7993d9cbbdcb403e6342
Previous Hash: 391c927e81d0e0bd0d8a4c1369004310c17b0276da42a324cbfc614b7cf11f99
Merkle Root: e2a8e668dff249c04b144bdf30aad492043d328d1cc753df80da5360267b9465
Random Number: 225769096
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Bob sends $23 to Emily
- Alice sends $17 to David
- Emily sends $16 to David
- Emily sends $42 to David
- Emily sends $11 to Charlie
- Emily sends $38 to Alice
- David sends $45 to Bob
- Emily sends $39 to Bob
- Charlie sends $31 to Bob
- Emily sends $19 to Bob
==================================================
