Block Hash: f7c28db4c3ca3f975aa1d054a4c9db9eb7405b578b75d30d9c17cd933198840f
Previous Hash: 5aa6893f03df05674f623af3ccd3c8e4d905ca4fc9d528afa0c5caf0f1856ae8
Merkle Root: 04f80baec8820aa540bd3104e27d2a7428549295e9e55b457cf5dc495ec179c0
Random Number: 538929582
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $38 to Emily
- Emily sends $44 to David
- Charlie sends $47 to David
- Bob sends $16 to David
- Bob sends $11 to Charlie
- Charlie sends $19 to Bob
- Alice sends $10 to Charlie
- Charlie sends $19 to Bob
- Charlie sends $34 to Bob
- Emily sends $43 to Bob
==================================================
