Block Hash: 8daf72eb0a036a1072e86c9432e54a3fbd2aa138e533dd22d19264ad7adf6a9a
Previous Hash: 432709bf76528f5d400d3c0387383cfa5ff80e7681cfea6f6f7ce16effa92a18
Merkle Root: d11c5759e27e3d946286bfd2cb6f881083ec2e8d2bfefc4c90a1729e938f7210
Random Number: 172393580
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- David sends $27 to Emily
- Bob sends $32 to David
- Emily sends $31 to Alice
- Emily sends $48 to David
- Charlie sends $31 to David
- Emily sends $40 to Alice
- Alice sends $17 to David
- Bob sends $30 to Alice
- Emily sends $49 to David
- Alice sends $21 to David
==================================================
