Block Hash: bf3260f2098aa25d345d11c48352cb18dd15073d3dfb6b226a86d1e174616f23
Previous Hash: ac65f78b9b82ddef7bf0515af35a490daffc3aaea64a2388d3b01ab58a63a0b9
Merkle Root: c86ff9bc1830540cf3a25c96caca7de5ca950eb86146f8a6c6d010771cd4e4d8
Random Number: 959876790
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $45 to Bob
- David sends $26 to Emily
- Bob sends $10 to Charlie
- Bob sends $43 to Alice
- David sends $42 to Alice
- Bob sends $12 to Emily
- David sends $13 to Alice
- Bob sends $16 to Charlie
- David sends $24 to Alice
- Alice sends $44 to David
==================================================
