Block Hash: a15e9bc987ac32fcca41debf06079839bf9fb278c29242516f8d465e9c202688
Previous Hash: e65c013c7df4116b95920aa6d2aea2fa2c40a59f3db3a4330cb863e8c02d46cd
Merkle Root: 512c21ea592595c81324b11757ccf7213c225b0ee335737934469e96232a9048
Random Number: 530597904
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- David sends $38 to Charlie
- Bob sends $39 to David
- Emily sends $45 to David
- Alice sends $16 to Emily
- Emily sends $44 to Alice
- Alice sends $25 to David
- Charlie sends $41 to Bob
- Emily sends $48 to David
- Alice sends $19 to David
- Emily sends $22 to David
==================================================
