Block Hash: d9333950d03a2e5eb35d810ec34182f0e91c692502dbc31fae2e4d661c5119ba
Previous Hash: ad7e0d33cc335500065654d29753e2b96812794443d612f4030b5161e147ca65
Merkle Root: 66080003d421e7165f650f8ff165cf54f62324fc43817abf36bedc84cef3ede0
Random Number: 178953900
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $42 to Alice
- David sends $24 to Emily
- Alice sends $24 to Charlie
- David sends $31 to Charlie
- Alice sends $20 to Charlie
- Alice sends $39 to Bob
- Bob sends $31 to David
- David sends $38 to Emily
- Charlie sends $47 to David
- Alice sends $50 to Emily
==================================================
