Block Hash: 41a04917265d2e270295274831a5dfa71cc9bbc774cf22aeff2bb4b5b9b0710c
Previous Hash: f284aa16975f85e7c81bfb371461b0eaaa311c7f3dd25995cbd826141a0edc8e
Merkle Root: dc06ba5aac73ccf4f4367ebba19c4a86ff259ca150f58083148ece177353a18c
Random Number: 175090560
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- David sends $19 to Charlie
- Alice sends $11 to David
- Alice sends $19 to Bob
- Charlie sends $41 to David
- Bob sends $16 to David
- Emily sends $41 to Alice
- Bob sends $31 to Emily
- Emily sends $19 to Bob
- Alice sends $49 to Emily
- Emily sends $49 to Bob
==================================================
