Block Hash: 517e1807433ad977c5a700a43de60cff7f2dcf5ec9d76a33e1bdc2f271b295e2
Previous Hash: a728c13f824a1c0f15e518403c81a9407d26e7b879b2e027cd8104e5f4ea6dda
Merkle Root: c0ea13772cc99154e0e208a28b6c4da5fefcc8ab84a5287fe7ae06b3dfa62b25
Random Number: 156739080
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Alice sends $37 to David
- David sends $44 to Alice
- Charlie sends $38 to Emily
- Emily sends $35 to Charlie
- Emily sends $10 to Alice
- David sends $48 to Emily
- Emily sends $40 to Alice
- Charlie sends $15 to Alice
- Emily sends $50 to Charlie
- David sends $40 to Emily
==================================================
