Block Hash: f532b4457027e002760d073cd64f6f0376cf6c98544add97e5dfef74bf713900
Previous Hash: 68cc7ee04d5c03367082137a10213275d529a7325c10953f6b208b9c861e3d2a
Merkle Root: 88c0eca8437a1b11e3b2575b1763a1823bf870c1ad8da63192e5803b8a71ad67
Random Number: 730443901
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- Emily sends $18 to Charlie
- Alice sends $38 to Bob
- Alice sends $26 to David
- Bob sends $33 to Alice
- Bob sends $20 to David
- Bob sends $36 to Alice
- Alice sends $50 to Emily
- David sends $37 to Emily
- Alice sends $30 to Emily
- Bob sends $23 to Emily
==================================================
