Block Hash: cb05529f31280a38631294971bc24a26d767274ad5302541c7c2514b664e5309
Previous Hash: e8d130d7822c1aeb3e1842deca1102b905903094886a55088ec73106111beca0
Merkle Root: 7412a5a2b7b94ae8738c2cb337d310b62f0900889a635a6f45cf52308a9f1bb8
Random Number: 989934320
Forward Hash: 0
Timestamp: 2023-11-17 11:12:30
Transactions:
- Emily sends $16 to David
- Charlie sends $45 to Bob
- Charlie sends $38 to Emily
- Alice sends $14 to Charlie
- David sends $20 to Charlie
- David sends $47 to Emily
- Charlie sends $19 to Alice
- Bob sends $27 to Alice
- Bob sends $15 to Charlie
- Alice sends $13 to Charlie
==================================================
