Block Hash: 444078254480ab0094b52a5bd7c6426e0801a131167689a94b2fb6e2db8e2d11
Previous Hash: 819ba657d0b0a6d1fd604dc3a68c0609a89e91f3f083bb1f9dc4ab31b5b6e197
Merkle Root: 88d0442896382b0da43040fe8427338cb8fc68758e342a7162dd7002851c5fe5
Random Number: 138214393
Forward Hash: 0
Timestamp: 2023-11-17 11:12:45
Transactions:
- David sends $38 to Charlie
- Emily sends $15 to Bob
- Emily sends $10 to Bob
- Charlie sends $19 to Bob
- Charlie sends $14 to David
- Alice sends $38 to Emily
- Emily sends $17 to David
- Charlie sends $28 to Bob
- Bob sends $38 to Alice
- Emily sends $43 to Alice
==================================================
