Block Hash: af7e1e0181d4ebc4ea1eb0b4204e5b881e280dbed8fe5ed2976f67e66f2ff357
Previous Hash: 9c1c3b8d11dd364eba7b4ded801ebd681b472499119a068184fdcf5094b6d4eb
Merkle Root: cd9c97c1730ba18bac435ca0b3b05a8a9301de199e84f24e61a4de8f776d06b8
Random Number: 842077418
Forward Hash: 0
Timestamp: 2023-11-17 11:12:36
Transactions:
- David sends $31 to Alice
- Alice sends $49 to Emily
- Emily sends $26 to Bob
- Bob sends $40 to David
- Alice sends $19 to David
- Alice sends $35 to Emily
- Emily sends $10 to Bob
- Alice sends $49 to David
- Bob sends $45 to Charlie
- Alice sends $11 to Charlie
==================================================
