Block Hash: 4735ad4e0a6807d2c2f8a147f20a17c3b4f1ea71417b40dd26393fd378997d0e
Previous Hash: 83298d0a621be0cec4d5a97dedeb3e1fc1a98aec6511400112b86fe97d24bf25
Merkle Root: ca4d208412a93f7b2cacf1efaadaf0f3b23eea7fb8a234b42c0e919802a3458c
Random Number: 859359829
Forward Hash: 0
Timestamp: 2023-11-17 11:12:31
Transactions:
- David sends $49 to Emily
- Alice sends $41 to David
- Emily sends $27 to David
- Charlie sends $40 to David
- Charlie sends $21 to Alice
- Emily sends $34 to Charlie
- Emily sends $42 to Alice
- Alice sends $40 to David
- Charlie sends $24 to David
- Emily sends $13 to Charlie
==================================================
