Block Hash: 5fbaab33fd3e72dda7575cd744eefb7d36060a174c6879febb1dcac5d43e146b
Previous Hash: 202421819bb57b5cc00212a69c64fdcd51e40ca5f0633d665538738c729e2569
Merkle Root: 1c8b50e8892446cdb414096605fff167371d552a11c8412b47061b8d154bd023
Random Number: 360356529
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Bob sends $20 to David
- Charlie sends $37 to Alice
- David sends $43 to Alice
- Emily sends $23 to Alice
- Emily sends $26 to Alice
- Alice sends $41 to Emily
- Charlie sends $36 to Emily
- Emily sends $21 to Bob
- Emily sends $42 to Alice
- Alice sends $23 to Emily
==================================================
