Block Hash: bb78d73e37c735329a2e8faa8e4718ad439afac63cb3ed074ec0af3eaf30fd3d
Previous Hash: af78a5b6100fb2206deaa1276405eb6feafa36db6fcf47f566f6b40eec408ae4
Merkle Root: 8cb85af475b47a629001743944a1d70882edafbde327242be8c28dbfe3564b45
Random Number: 315908039
Forward Hash: 0
Timestamp: 2023-11-17 11:12:56
Transactions:
- Emily sends $44 to Bob
- David sends $38 to Emily
- Bob sends $15 to Charlie
- Charlie sends $11 to David
- Bob sends $28 to Emily
- Bob sends $27 to Charlie
- David sends $38 to Charlie
- Bob sends $18 to David
- Bob sends $48 to Alice
- David sends $27 to Emily
==================================================
