Block Hash: 228b681bb51f32ca32a418de8d418eaf73265fde5f53443de6c7590568d893db
Previous Hash: 5f720260360873c449b3228dcc9de3ad61460d66fc36f6f50de04a4c14675471
Merkle Root: 6c9e1eb3f51317ed75ea1a78968ce1d8687455817b9f8e981c92906c756e65f3
Random Number: 449420258
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Bob sends $31 to David
- Emily sends $20 to Charlie
- Charlie sends $14 to Emily
- David sends $45 to Emily
- David sends $13 to Emily
- David sends $10 to Charlie
- David sends $32 to Charlie
- David sends $47 to Charlie
- David sends $44 to Bob
- Charlie sends $22 to Bob
==================================================
