Block Hash: bdd4783a6d9a59bb107e8a9761ac9ceaa1b5faa2b65c55472dad637213b56c88
Previous Hash: cab00dc84245b6942fafa5c4f19fc1bb534ef47317462c3878acb9adada0111b
Merkle Root: 87882c31b7b6bd3f5a15c82f700ea7ce81552cb4343240e56df88b402ad61c14
Random Number: 517517479
Forward Hash: 0
Timestamp: 2023-11-17 11:12:44
Transactions:
- David sends $24 to Bob
- Alice sends $41 to David
- Emily sends $41 to Alice
- Emily sends $42 to David
- Charlie sends $23 to Alice
- Alice sends $45 to Emily
- Bob sends $32 to Emily
- Bob sends $44 to Alice
- Alice sends $50 to Emily
- Bob sends $48 to Emily
==================================================
