Block Hash: 0aa5034dc822b080eb3560a2d3d501ebff178c9b2240bed7d95d5b24d8728a76
Previous Hash: 440e38225a2aa2f0c7061d632fa7500730af713ccd8ceeb71293e2a883e8d2d8
Merkle Root: ba1bcc7af5fdcd239058e8b0cf7eae2dc366a8d537100c09e2c158f74c5f3f28
Random Number: 434078506
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- Charlie sends $12 to Bob
- Emily sends $49 to David
- David sends $34 to Alice
- Emily sends $21 to David
- Emily sends $33 to David
- David sends $33 to Alice
- Bob sends $38 to Charlie
- Alice sends $31 to David
- Alice sends $27 to Emily
- Bob sends $16 to Charlie
==================================================
