Block Hash: b44f6419919ed2df16e27325049e8c5139453d9c6cb81438fc7fc950df74a2f1
Previous Hash: 710261fdce2c90039ac442472c47282e873993b1ba357a97bd07e7ca75bdea15
Merkle Root: fb5d90278d83fefb2cdbb6f0692619d4dd5cd8b489d587b417a47626ea91ce2e
Random Number: 222785781
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Alice sends $41 to David
- David sends $35 to Charlie
- Emily sends $12 to Charlie
- Charlie sends $32 to Bob
- David sends $22 to Emily
- Emily sends $30 to Charlie
- Bob sends $42 to Alice
- Bob sends $30 to Alice
- Bob sends $26 to Charlie
- Emily sends $11 to Alice
==================================================
