Block Hash: 84767ca1580c43d041175e9118537b1408b51e6039233ebabc3776dec65c50da
Previous Hash: a1f45bac824aaa96f6affd6952431921e827d0426f4613104b54e82db1b3237b
Merkle Root: e2a79881b3fa89f6861af34e15fa1a83242e1252cbf8abd50a4bc2f613b24894
Random Number: 213304295
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- Charlie sends $28 to Alice
- David sends $19 to Charlie
- Emily sends $27 to Charlie
- Bob sends $10 to Charlie
- Bob sends $35 to Charlie
- Alice sends $38 to Emily
- Bob sends $28 to Emily
- Alice sends $27 to Bob
- Alice sends $31 to Bob
- David sends $26 to Bob
==================================================
