Block Hash: 2aecc6cb53f1c5087afbe07414d1525c6ca45244e2ac6b0916b0dbb9ce997066
Previous Hash: 9d56472e0e30043c993312c3d9e9e828173c758dbd2efe89daea96006c8e957d
Merkle Root: 43e7fc22a8114c073997409fe90f382ba1e48baad289b28eceacbf1f4d14b788
Random Number: 413660018
Forward Hash: 0
Timestamp: 2023-11-17 11:12:54
Transactions:
- Charlie sends $39 to David
- Bob sends $37 to Alice
- Emily sends $33 to Bob
- Bob sends $15 to Charlie
- Alice sends $13 to Emily
- Emily sends $42 to Charlie
- David sends $37 to Bob
- Alice sends $49 to Bob
- David sends $41 to Alice
- David sends $32 to Emily
==================================================
