Block Hash: 32e022f49dd1a3a68135e08f167b3adf4935923484a857d3e75fc2e2eacfa079
Previous Hash: 781a2d80d4b6bb89005a5f2a215069f92a68be01ae654f3abde3eb5f8d564cfc
Merkle Root: 45131f2093ca1e44588d896941516e163ffd3db55cd74d09d633fb789a4fcfdd
Random Number: 449980081
Forward Hash: 0
Timestamp: 2023-11-17 11:12:47
Transactions:
- Charlie sends $17 to Emily
- Emily sends $11 to Charlie
- Alice sends $30 to Bob
- Bob sends $13 to Alice
- David sends $22 to Charlie
- Emily sends $14 to Bob
- Bob sends $13 to David
- Emily sends $31 to David
- Alice sends $33 to Charlie
- Emily sends $25 to Bob
==================================================
