Block Hash: 28a692c8978be91f81489b19f3f42ed0ab14b0eecdc5e36c3e1b47dd4ef15cde
Previous Hash: 2518db04689cc71fe415b307b4357034094dad04db309195829e0bbf86ea0184
Merkle Root: a566ec7af6096c0633e9c8469035420fd774288a6543536d5dfcb976695f31be
Random Number: 122975905
Forward Hash: 0
Timestamp: 2023-11-17 11:12:33
Transactions:
- Charlie sends $26 to Bob
- Bob sends $14 to Emily
- Alice sends $17 to David
- Bob sends $13 to Emily
- Bob sends $35 to Charlie
- David sends $12 to Alice
- Emily sends $25 to David
- Emily sends $23 to David
- Emily sends $23 to Charlie
- Alice sends $49 to Emily
==================================================
