Block Hash: d4baf36260f92237c95d5b7e2c73a4a944d98407222190dd279948f8ded071dd
Previous Hash: 3ac7b0adbb309478dfdf812f4f3052482633d2b449dffc6cf39b553a5eefc84d
Merkle Root: f8fc73daf14ddc05d4856bc2bea1152b24cd259298204a59c030a712df873b2b
Random Number: 245590022
Forward Hash: 0
Timestamp: 2023-11-17 11:13:04
Transactions:
- Emily sends $32 to Alice
- David sends $48 to Bob
- David sends $44 to Bob
- Alice sends $12 to Charlie
- Alice sends $24 to Charlie
- Charlie sends $33 to David
- Charlie sends $14 to Emily
- Alice sends $18 to Charlie
- David sends $19 to Emily
- David sends $34 to Bob
==================================================
