Block Hash: b7493b45cb8f22ee599565145e9d6f0a878a5a1fc9d245990b144af5b5c5af19
Previous Hash: 103405e9e860de1efc26a5ffeb7a70d68c0588a8fff40d8c1b414d2f1fbd379f
Merkle Root: f437405c0b2fb2fd1fbc93b111238887f4de53b8caf21408f2b3466828426faa
Random Number: 710009320
Forward Hash: 0
Timestamp: 2023-11-17 11:13:02
Transactions:
- Alice sends $37 to Emily
- Charlie sends $49 to Alice
- Charlie sends $25 to Alice
- David sends $14 to Alice
- Bob sends $31 to David
- David sends $20 to Alice
- Charlie sends $47 to Bob
- David sends $18 to Charlie
- Charlie sends $12 to David
- Charlie sends $13 to Bob
==================================================
