Block Hash: 596ad03cb9e3cc57020d5369cacbc04096e74330f8a36908b14010855d201770
Previous Hash: c969e6abaf6a39bd91f2053a3b6353beea6afd5e6b8799604680635fa6ece452
Merkle Root: 255ffd9d2586c1352ac10d17fc45f86c07a29b856ae1e067b66569f74223eae4
Random Number: 637746351
Forward Hash: 0
Timestamp: 2023-11-17 11:12:46
Transactions:
- Bob sends $49 to Alice
- Alice sends $22 to David
- Charlie sends $47 to Bob
- Charlie sends $49 to Bob
- Emily sends $11 to Bob
- Charlie sends $44 to David
- Charlie sends $44 to Bob
- Alice sends $40 to Charlie
- David sends $17 to Bob
- Emily sends $41 to Bob
==================================================
