Block Hash: 37d47d36a82ab09a02aeb9b99ff34d7f0ddb254457e7978aeee72a9c4264f29b
Previous Hash: a58538c5bccd9db73752cba374a310531fbf143d74255ca809174834d25188cd
Merkle Root: c2b89cedb4989e76112d8d2ece3e7b8128f175fc43c2aceb1dc0d8d26ecca992
Random Number: 118428848
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Alice sends $46 to Charlie
- David sends $15 to Alice
- Bob sends $47 to Emily
- David sends $22 to Emily
- David sends $15 to Alice
- Bob sends $11 to David
- David sends $36 to Emily
- David sends $11 to Emily
- Emily sends $34 to Alice
- Bob sends $13 to Alice
==================================================
