Block Hash: 0fd97b3f82db65c4e48770625411ccb3b307cd09437179449607cf7c5f45eb64
Previous Hash: efcc9d2dad62a1f24a76b1c6d5580412f477bd23861f6423ef9666ff6aecab39
Merkle Root: 89911ca92e63c55e7167c773fe1d900718550e3983ab215f476d09508132a1d8
Random Number: 824422570
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Bob sends $37 to Charlie
- David sends $12 to Emily
- Alice sends $48 to Bob
- Alice sends $46 to Emily
- David sends $47 to Alice
- Emily sends $28 to David
- Alice sends $41 to David
- David sends $31 to Alice
- Charlie sends $29 to David
- Charlie sends $48 to Emily
==================================================
