Block Hash: b247f73442f0f85b55dff4021920c37f8af35982db901df2e3c4eba8ae8c6220
Previous Hash: eb6b7f11af62f5ec211284ba1c7a2a5465aa069fbfe799bcba659bc621fb0b33
Merkle Root: 7159fd874e53b5e9621866c337343a9a908c807ca7e364e6cf47368d0e0007c4
Random Number: 434218060
Forward Hash: 0
Timestamp: 2023-11-17 11:13:08
Transactions:
- Bob sends $25 to Charlie
- Charlie sends $50 to Emily
- Emily sends $18 to David
- David sends $50 to Bob
- David sends $11 to Bob
- Charlie sends $46 to Emily
- Emily sends $47 to Alice
- David sends $25 to Alice
- Alice sends $12 to David
- Alice sends $13 to David
==================================================
