Block Hash: b6926f238c116308edaa5e26555284cbf2787ca93ebf3182fdf215de3c4b8ff8
Previous Hash: 1d46d687858087182dcc841d079f9a530a12351579dc48f1ced67c608df1d5d3
Merkle Root: 58d1d3afb4492409565aab023ccc794f9e090d3a0193c6790f013157c06c6d0f
Random Number: 584518537
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Emily sends $37 to Charlie
- David sends $10 to Alice
- Alice sends $19 to Emily
- David sends $25 to Emily
- Bob sends $27 to David
- Bob sends $20 to Emily
- Charlie sends $33 to David
- David sends $12 to Bob
- Alice sends $44 to David
- Charlie sends $45 to Alice
==================================================
