Block Hash: 45764b34d4966f7f2f78f9a61c14e6aea7c0d82592facd857efcfe71b50c7faa
Previous Hash: 4e76e850c13c95c680d2fba9d6a55989488cd35ebac70828f219ecd57640b70f
Merkle Root: adaefd48601b858c803a200754cf8a26f1ffd1925ea36a54150686d01d32ed63
Random Number: 526349401
Forward Hash: 0
Timestamp: 2023-11-17 11:12:35
Transactions:
- Bob sends $19 to David
- David sends $45 to Emily
- David sends $41 to Charlie
- Charlie sends $45 to Emily
- Alice sends $11 to Charlie
- Alice sends $33 to Bob
- David sends $28 to Emily
- Charlie sends $45 to Bob
- Alice sends $47 to Bob
- Charlie sends $15 to Alice
==================================================
