Block Hash: a0613fe2419c6516f1c86f3003e299a4c55c14d66fdb1f481127a3bc7090fd95
Previous Hash: 819bffe8bacf535a29344240905b87af6fda8646f771dfea7bb478b9930171ab
Merkle Root: 50b4d1e367318a8fd8c954c895e3af1720463e5cba5d1103b60780daff41d8b2
Random Number: 146174729
Forward Hash: 0
Timestamp: 2023-11-17 11:12:52
Transactions:
- Charlie sends $29 to Emily
- Bob sends $17 to Charlie
- David sends $23 to Alice
- David sends $49 to Bob
- Emily sends $41 to Charlie
- David sends $23 to Charlie
- David sends $35 to Alice
- Emily sends $24 to Charlie
- Bob sends $15 to Charlie
- Alice sends $36 to Bob
==================================================
