Block Hash: 058a8e6509a1b278973885ff869e6c6ed8111830afc3e342f4c71006cf63bc11
Previous Hash: 6d8eeb43bdda1f009ce351188a30742ce5cf1be68403fe612741adae7739bd6c
Merkle Root: b0bf775026bd872f4c3e1e6cffe86a06fe12c0557ab725906dfc7140a8b6f0ae
Random Number: 632472855
Forward Hash: 0
Timestamp: 2023-11-17 11:12:49
Transactions:
- Bob sends $38 to Alice
- Emily sends $46 to Charlie
- David sends $21 to Bob
- David sends $18 to Emily
- Alice sends $34 to Emily
- David sends $43 to Bob
- Alice sends $12 to David
- Charlie sends $21 to David
- Emily sends $40 to David
- Alice sends $37 to Emily
==================================================
