Block Hash: ca0079ab4cb1ac69d1087d9c792a66150a09840b9bfefe581374ffe9b1b5730d
Previous Hash: a6caf51a86287f8ff6cd2d26ec987aa2ae85eff1867cd9d14d068ebd6cdd8b34
Merkle Root: b844cfe1188752c0432955636875db83a48aecae18f3e2c12e386598411f8eaf
Random Number: 494820992
Forward Hash: 0
Timestamp: 2023-11-17 11:13:01
Transactions:
- Charlie sends $29 to Alice
- David sends $18 to Emily
- Bob sends $11 to Charlie
- Alice sends $34 to David
- Emily sends $36 to Charlie
- Emily sends $32 to David
- Alice sends $25 to Bob
- Alice sends $34 to David
- Emily sends $35 to Charlie
- Emily sends $31 to Bob
==================================================
